Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,3.850000,3.900000,3.700000,3.740000,3.740000,1877400
2020-07-27,3.730000,3.810000,3.675000,3.780000,3.780000,1635200
2020-07-28,3.770000,3.890000,3.720000,3.730000,3.730000,1681600
2020-07-29,3.750000,3.780000,3.530000,3.570000,3.570000,1839600
2020-07-30,3.530000,3.800000,3.530000,3.700000,3.700000,1941900
2020-07-31,3.680000,3.760000,3.580000,3.660000,3.660000,2576700
2020-08-03,3.660000,3.925000,3.620000,3.920000,3.920000,1744900
2020-08-04,3.870000,3.925000,3.655000,3.700000,3.700000,4422900
2020-08-05,3.710000,3.770000,3.540000,3.700000,3.700000,6162700
2020-08-06,3.680000,3.900000,3.530000,3.820000,3.820000,4914800
2020-08-07,3.900000,4.250000,3.830000,4.250000,4.250000,2783000
2020-08-10,4.220000,4.310000,4.050000,4.170000,4.170000,2113400
2020-08-11,4.210000,4.250000,4.065000,4.090000,4.090000,2000900
2020-08-12,4.070000,4.260000,4.020000,4.150000,4.150000,2085800
2020-08-13,4.140000,4.240000,4.100000,4.170000,4.170000,920800
2020-08-14,4.120000,4.135000,4.045000,4.130000,4.130000,944700
2020-08-17,4.110000,4.420000,4.080000,4.390000,4.390000,1529900
2020-08-18,4.420000,4.460000,4.255000,4.300000,4.300000,1339400
2020-08-19,4.300000,4.380000,4.230000,4.330000,4.330000,1116300
2020-08-20,4.280000,4.490000,4.255000,4.420000,4.420000,1315100
2020-08-21,4.350000,4.490000,4.260000,4.350000,4.350000,2122200
2020-08-24,4.430000,4.460000,4.310000,4.340000,4.340000,2936900
2020-08-25,4.500000,4.755000,4.380000,4.670000,4.670000,3367100
2020-08-26,4.700000,4.800000,4.620000,4.630000,4.630000,1733500
2020-08-27,4.650000,4.650000,4.505000,4.620000,4.620000,916400
2020-08-28,4.600000,4.750000,4.560000,4.710000,4.710000,888900
2020-08-31,4.750000,5.040000,4.670000,5.000000,5.000000,4231500
2020-09-01,4.950000,5.000000,4.460000,4.580000,4.580000,2665900
2020-09-02,4.530000,4.570000,4.390000,4.490000,4.490000,1495700
2020-09-03,4.520000,4.520000,4.210000,4.260000,4.260000,1956100
2020-09-04,4.310000,4.310000,4.020000,4.150000,4.150000,3048400
2020-09-08,4.030000,4.150000,3.955000,4.010000,4.010000,1980800
2020-09-09,4.040000,4.280000,3.982000,4.250000,4.250000,2757500
2020-09-10,4.250000,4.460000,4.210000,4.270000,4.270000,1603200
2020-09-11,4.280000,4.395000,4.170000,4.200000,4.200000,1588000
2020-09-14,4.280000,4.475000,4.210000,4.400000,4.400000,2865100
2020-09-15,4.400000,4.500000,4.285000,4.360000,4.360000,3107000
2020-09-16,4.380000,4.580000,4.360000,4.510000,4.510000,1507400
2020-09-17,4.420000,4.595000,4.375000,4.500000,4.500000,1361500
2020-09-18,4.560000,4.668000,4.350000,4.500000,4.500000,4752700
2020-09-21,4.400000,4.410000,4.240000,4.280000,4.280000,2685100
2020-09-22,4.290000,4.380000,4.070000,4.240000,4.240000,2617200
2020-09-23,4.220000,4.230000,3.820000,3.850000,3.850000,5286200
2020-09-24,3.770000,3.880000,3.690000,3.790000,3.790000,2286800
2020-09-25,3.750000,3.940000,3.720000,3.800000,3.800000,1763600
2020-09-28,3.830000,3.850000,3.700000,3.760000,3.760000,1946100
2020-09-29,3.770000,3.770000,3.605000,3.720000,3.720000,3942100
2020-09-30,3.720000,3.930000,3.670000,3.920000,3.920000,3921000
2020-10-01,3.990000,4.180000,3.940000,4.060000,4.060000,2528900
2020-10-02,3.980000,4.110000,3.920000,3.940000,3.940000,1410800
2020-10-05,3.980000,4.185000,3.940000,4.100000,4.100000,1448700
2020-10-06,4.100000,4.165000,4.015000,4.030000,4.030000,1773500
2020-10-07,4.110000,4.140000,4.020000,4.060000,4.060000,1349800
2020-10-08,4.110000,4.190000,4.050000,4.080000,4.080000,844400
2020-10-09,4.140000,4.195000,4.090000,4.140000,4.140000,1135900
2020-10-12,4.150000,4.150000,3.890000,3.940000,3.940000,1546300
2020-10-13,3.890000,4.050000,3.860000,3.990000,3.990000,2018400
2020-10-14,3.980000,4.100000,3.930000,4.030000,4.030000,1321300
2020-10-15,3.870000,4.180000,3.860000,4.120000,4.120000,1187800
2020-10-16,4.090000,4.130000,3.950000,4.000000,4.000000,1408700
2020-10-19,4.010000,4.090000,3.870000,3.900000,3.900000,2717400
2020-10-20,3.990000,3.990000,3.650000,3.710000,3.710000,3373500
2020-10-21,3.670000,3.720000,3.410000,3.420000,3.420000,2904600
2020-10-22,3.430000,3.590000,3.400000,3.500000,3.500000,2643600
2020-10-23,3.490000,3.570000,3.440000,3.530000,3.530000,858300
2020-10-26,3.470000,3.580000,3.320000,3.395000,3.395000,1334600
2020-10-27,3.400000,3.490000,3.330000,3.480000,3.480000,1300000
2020-10-28,3.380000,3.429000,3.240000,3.355000,3.355000,1785900
2020-10-29,3.330000,3.450000,3.250000,3.410000,3.410000,1375500
2020-10-30,3.390000,3.480000,3.340000,3.400000,3.400000,1361500
2020-11-02,3.410000,3.490000,3.145000,3.325000,3.325000,1981300
2020-11-03,3.370000,3.560000,3.330000,3.540000,3.540000,1619200
2020-11-04,3.510000,3.740000,3.385000,3.500000,3.500000,3493400
2020-11-05,3.500000,3.520000,3.360000,3.470000,3.470000,1629700
2020-11-06,3.440000,3.450000,3.150000,3.190000,3.190000,3514400
2020-11-09,3.370000,3.555000,3.195000,3.365000,3.365000,4535700
2020-11-10,3.440000,3.450000,3.290000,3.320000,3.320000,1680200
2020-11-11,3.500000,3.740000,3.450000,3.620000,3.620000,3272000
2020-11-12,3.560000,3.610000,3.440000,3.490000,3.490000,2584900
2020-11-13,3.500000,3.556000,3.355000,3.460000,3.460000,2739700
2020-11-16,3.480000,3.570000,3.440000,3.490000,3.490000,2642200
2020-11-17,3.450000,3.880000,3.400000,3.830000,3.830000,2714500
2020-11-18,3.800000,3.900000,3.735000,3.750000,3.750000,1639000
2020-11-19,3.770000,3.930000,3.640000,3.900000,3.900000,2791400
2020-11-20,4.220000,4.310000,3.910000,4.260000,4.260000,4573400
2020-11-23,4.280000,4.320000,3.920000,4.040000,4.040000,3243500
2020-11-24,4.110000,4.170000,3.990000,4.000000,4.000000,1730500
2020-11-25,4.010000,4.090000,3.990000,4.060000,4.060000,993200
2020-11-27,4.100000,4.190000,4.060000,4.120000,4.120000,729200
2020-11-30,4.280000,4.430000,4.230000,4.360000,4.360000,2626500
2020-12-01,4.400000,4.410000,4.060000,4.150000,4.150000,2371800
2020-12-02,4.190000,4.340000,4.070000,4.270000,4.270000,1632900
2020-12-03,4.271000,4.300000,4.020000,4.070000,4.070000,1696100
2020-12-04,4.110000,4.225000,4.070000,4.170000,4.170000,2225300
2020-12-07,4.300000,4.320000,4.180000,4.200000,4.200000,2204500
2020-12-08,4.230000,4.350000,4.030000,4.335000,4.335000,2246700
2020-12-09,4.340000,4.605000,4.320000,4.490000,4.490000,3219400
2020-12-10,4.480000,4.520000,4.340000,4.470000,4.470000,3406700
2020-12-11,4.410000,4.540000,4.170000,4.210000,4.210000,2265700
2020-12-14,4.270000,4.575000,4.170000,4.430000,4.430000,2446200
2020-12-15,4.500000,4.550000,4.400000,4.540000,4.540000,2145600
2020-12-16,4.540000,4.563000,4.350000,4.350000,4.350000,1875500
2020-12-17,4.350000,4.510000,4.315000,4.480000,4.480000,1432500
2020-12-18,4.500000,4.510000,4.330000,4.340000,4.340000,6250100
2020-12-21,4.290000,4.470000,4.170000,4.470000,4.470000,2169400
2020-12-22,4.480000,4.560000,4.380000,4.390000,4.390000,2035900
2020-12-23,4.390000,4.480000,4.230000,4.410000,4.410000,1725000
2020-12-24,4.450000,4.490000,4.350000,4.410000,4.410000,724200
2020-12-28,4.420000,4.480000,4.200000,4.200000,4.200000,1451200
2020-12-29,4.200000,4.295000,4.060000,4.070000,4.070000,1471800
2020-12-30,4.070000,4.370000,4.060000,4.290000,4.290000,1526100
2020-12-31,4.300000,4.300000,4.080000,4.150000,4.150000,1411300
